topic,ask_code,en,ko,ru,zh,mn,note
vt3,vt002,officer,장교,офицер,军官,офицер,
vt2,vt001,troops,군대,армия,军队,цэрэг (зэвсэгт хүчин),
vc3,vc240,leisure time,여가,досуг,空闲的时间,зав чөлөө,
vc3,vc239,people,사람들,люди,人们,хүмүүс,
vc3,vc238,group,그룹/조(組),группа,小组(活动小组的+),бүлэг,
vc3,vc237,procession,행렬,процессия,行列,жагсаал,
vc2,vc236,"range, queue, line, row",줄/열,ряд,队(排队的+),эгнээ,
vc3,vc235,signal,신호,сигнал,信号,дохио,
vc3,vc234,map,지도,карта,地图,газрын зураг,
vc3,vc233,failure,실패,неудача,失败(+和胜利),бүтэлгүйтэл,
vc3,vc232,success,성공,успех,成功(祝贺你的成功的+),амжилт,
vc2,vc231,fortunetelling,점(占),гаданье,占卜,мэргэ төлөг,
vc3,vc230,design/plan,고안/설계,выдумка,设计,санаачилга,
vc2,vc229,"drop, grain",알갱이,зёрнышко,粒儿(米粒儿+),мөхлөг,
vc3,vc228,"block, lump, mass",덩어리,"глыба, ком",块儿(这块儿是我的的+),"хэсэг, бөөн юм",
vc3,vc227,address,주소,адрес,住址,хаяг,
vc2,vc226,meaning,뜻,значение,意思,утга,
vc2,vc225,answer,대답,ответ,回答(这是他的回答的+),хариу,
vc2,vc224,question,질문,вопрос,提问,асуулт,
vc2,vc244,Mr./Mrs.,~씨(나이든 남녀에 대해),,,гуай,
vc2,vc223,"Mrs., Ms.",~씨(여자에 대해),госпожа,小姐,хатагтай,
vc2,vc222,Mr.,~씨(남자에 대해),господин,先生/同志,ноён,
vc2,vc221,punishment,벌(罰),наказание,处罚,шийтгэл,
vc2,vc220,fire,화재,пожар,火灾,гал түймэр,
vc3,vc219,our supporter,우리편,наш сторонник,同党/自己人,манай тал,
vc2,vc218,quarrel,말다툼,ссора,吵架,хэрүүл маргаан,
vc2,vc217,habit,습관,привычка,习惯(好习惯的+),зуршил,
vc3,vc216,something happy,기쁜 일,радостное событие,喜事,баярт үйл явдал,
vc3,vc215,park,공원,парк,公园,цэцэрлэгт хүрээлэн,
vc3,vc214,post office,우체국,почта,邮局,шуудангийн газар,
vc3,vc213,police station,경찰서,отделение милиции,警察局,цагдаагийн газар,
vc3,vc212,theater,극장,театр,剧场,театр,
vc2,vc211,hospital,병원,больница,医院,эмнэлэг,
vc1,vc210,"tavern, inn",여관,гостиница,旅馆,дэн буудал,
vc2,vc209,bus station,정류장,остановка,汽车站,зогсоол,
vc1,vc208,railroad station,역,вокзал,站(车站的+),галт тэрэгний буудал,
vc3,vc207,office,사무소/사무실,офис,办事处,албан газар,
vc3,vc206,company,회사,"компания, фирма",公司,компани,
vc1,vc205,building,건물,здание,建筑物,барилга байшин,
vc3,vc204,church,교회,церковь,教堂,христосийн сүм,
vc3,vc203,test,시험,испытание,试验,шалгалт,
vc1,vc202,hell,지옥,ад,地狱,там,
vc1,vc201,Heaven,천국,рай,天国/天堂,диваажин,
vc2,vc200,faith,신앙,вера (вероисповедание),信仰,шүтлэг,
vc2,vc199,abroad,외국,зарубежная страна (대체 질문: другая страна),外国,гадаад улс,
vc3,vc198,"travel, journey, trip",여행,"путешествие, поездка",旅行,аялал,
vc2,vc197,calendar,달력,календарь,挂历,хуанли,
vc3,vc196,dictionary,사전,словарь,词典,толь бичиг,
vc3,vc195,magazine,잡지,журнал,杂志,сэтгүүл,
vc3,vc194,broadcasting,방송,передача,广播,нэвтрүүлэг,
vc3,vc193,news,뉴스,новости,新闻,мэдээ,
vc3,vc192,telephone,전화,телефон,电话,телефон утас,
vc3,vc191,telegram,전보,телеграмма,电报,цахилгаан утас,
vc3,vc190,newspaper,신문,газета,报纸,сонин,
vc1,vc189,school,학교,школа,学校,сургууль,
vc2,vc188,agriculture,농업/농사,сельское хозяйство,农业,газар тариалан,
vc3,vc187,factory,공장,фабрика,工厂,үйлдвэр,
vc3,vc186,technique,기술,"техника, технология",技术,ур чадвар,
vc3,vc185,scope,범위,сфера,范围,хүрээ,
vc3,vc184,motive,계기/동기,мотив,动机,шалтаг,
vc2,vc183,"opportunity, chance, occasion",기회,"возможность, шанс",机会,боломж,
vc2,vc182,case,경우,случай,情况,тохиолдол,
vc3,vc181,individuality,개성,индивидуальность,个性,хувийн онцлог,
vc3,vc180,"substance, essence",본질,"суть, сущность",本质,чанар,
vc3,vc179,character,성격,характер,性格(他的性格不好的+),зан,
vc3,vc178,nature,성질,свойство,性质(这个事件的性质的+),шинж,
vc3,vc177,element,요소,фактор,要素,хүчин зүйл,
vc3,vc176,content,내용,содержание,内容,агуулга,
vc3,vc175,"state, condition",상태,состояние,状态,байдал,
vc3,vc174,direct opposition,정반대,прямая противоположность,正相反,шал эсрэг,
vc3,vc173,opposition,반대,противоположность,反对(反对的权利的+),эсрэг,
vc2,vc172,means,수단,средство,手段,арга,
vc2,vc171,"aim, goal, purpose",목적,цель,目的,зорилго,
vc3,vc170,influence,영향,влияние,影响,нөлөө,
vc3,vc169,effect,효과,эффект,效果,үр ашиг,
vc2,vc168,result,결과,"последствие, результат",结果,үр дүн,
vc3,vc167,reason,이유,повод (напр. для ссоры),理由,учир,
vc2,vc166,cause,원인,причина,原因,шалтгаан,
vc3,vc165,condition,조건,условие ,条件,нөхцөл,
vc2,vc164,origin,기원,происхождение,起源,гарал ,
vc3,vc163,"ground, foundation",기초,фундамент,基础,суурь,
vc3,vc162,basis,근본,основа,根本,үндэс,
vc2,vc161,relation,관계,"отношения, связь",关系,"харилцаа, харьцаа",
vc3,vc160,system,계통,система,系统,тогтолцоо,
vc3,vc159,class,계급,класс (напр. правящий),阶级,анги,
vc3,vc158,rank,등급,ранг,等级,зэрэг,
vc3,vc157,"example, instance",예(例),пример,例子(举例说明的+),жишээ,
vc3,vc156,"sort, kind",가지/종류,"вид, сорт",种类,зүйл,
vc2,vc155,promise,약속,обещание,誓言,амлалт,
vc2,vc154,secret,비밀,тайна,秘密,нууц,
vc3,vc153,fact,사실,факт,事实,бодит баримт,
vc2,vc152,happiness,행복,счастье,幸福,аз жаргал,
vc2,vc151,unfortunate,불행,несчастье,不幸(我很同情她的不幸的+),гай зовлон,
vc3,vc150,beauty,아름다움,красота,美(美丽的+),сайхан,
vc2,vc149,truth,참/진실,правда,真理,үнэн,
vc3,vc148,thinking,생각,мысль ,想法,"санаа, бодол",
vc2,vc147,opinion,의견,мнение,意见,санал,
vc3,vc146,plan,계획,план,计划,төлөвлөгөө,
vc3,vc145,experience,경험,опыт,经验,туршлага,
vc3,vc144,attitude,태도,отношение,态度,хандлага,
vc2,vc143,mistake,실수,ошибка,错误,алдаа,
vc2,vc142,shortcoming/weak point,단점,недостаток (слабое место),缺点,сул тал,
vc2,vc141,merit,장점,достоинство,优点,давуу тал,
vc3,vc140,"courtesy, manner",예절,этикет,礼貌,ёс журам,
vc3,vc139,ability,능력,способность,能力,чадал,
vc3,vc138,"talent, capacity",재능,талант,才能,авъяас,
vc3,vc137,"status, social position",신분,социальное положение,身分,нийгмийн зиндаа,
vc3,vc136,election,선거,выборы,选举,сонгууль,
vc3,vc135,right/authority,권리,право ,权利,эрх,
vc3,vc134,duty,의무,обязанность,义务,үүрэг,
vc3,vc133,duty,임무,задача,任务,даалгавар,
vc3,vc132,method,방법,способ,方法,арга,
vc3,vc131,report,보고,отчёт,报告,илтгэл,
vc3,vc130,thought,사상,идеология,思想,үзэл суртал,
vc3,vc129,sacrifice,희생,жертва,牺牲,золиос,
vc3,vc128,revolution,혁명,революция,革命,хувьсгал,
vc3,vc127,solidarity,단결,солидарность,团结,эв нэгдэл,
vc3,vc126,responsibility,책임,ответственность,责任,хариуцлага,
vc3,vc125,sanitation,위생,гигиена,卫生,эрүүл ахуй,
vc2,vc124,(religious) temple,사원,храм,寺院,сүм хийд,
vc1,vc123,world,세계,мир (напр. во всём мире),世界,дэлхий,
vc1,vc122,market,시장,"рынок, базар",市场(集贸市场的+),"зах, зах зээл",
vc3,vc121,festival,축제(시장에서 열리는),,庙会,,
vc3,vc120,festival,축제,фестиваль,联欢会,баяр наадам,
vc1,vc119,God,신(神),Бог,神(神仙的+),тэнгэр,
vc1,vc118,antlers of deer,녹용,панты,鹿茸,бугын цусан эвэр,
vc3,vc117,monster,괴물,чудовище,怪物,мангас,
vc3,vc116,goblin,도깨비,чёртик,小鬼(头上长角的+),шулам,
vc2,vc115,spirit,귀신,призрак,鬼(魔鬼的+),чөтгөр,
vc2,vc114,shadow,그림자,тень,影子,сүүдэр,
vc1,vc113,thing,물건,вещь,东西,юм,
vc3,vc112,name,명칭,название,名称,нэр,
vc3,vc111,"matter, incident",사건,событие,事件,үйл явдал,
vc1,vc110,"job, work, task",일(事),работа,工作,ажил,
vc1,vc109,business,용건,дело,事情,хэрэг,
vc1,vc108,power,힘,сила,力气,хүч,
vc1,vc107,sound,소리,звук,声音(开门的声音的+）,дуу авиа,
vc1,vc106,language,언어,язык (напр. алтайский),语言,хэл,
vc1,vc105,speech,말(言),речь,话(说话的+),үг яриа,
vc1,vc104,flag,깃발,флаг,旗子,туг,
vc2,vc103,globe,구(球),шар,球(地球的+),бөмбөрцөг,
vc1,vc102,ball,공(球),мяч,球(足球的+),бөмбөг,
vc3,vc101,movie,영화,фильм,电影,кино,
vc1,vc247,,민담,сказка,,,
vc1,vc100,tale,이야기,рассказ,故事,"яриа, үлгэр",
vc1,vc099,letter,편지,письмо,信(寄信的+),"захиа, захидал",
vc1,vc098,(written) character,글자,буква,字(写字的+),үсэг,
vc2,vc097,whistle,휘파람,свист,口哨儿,исгэрээ,
vc2,vc096,bell,방울,колокольчик,铃铛,хонх,
vc1,vc095,bell,종,колокол,钟(挂钟的+),хонх,
vc1,vc094,drum,북(鼓),барабан,鼓(敲鼓的+),бөмбөр,
vc2,vc093,gong,징,гонг,锣(打锣的+),харанга,
vc2,vc092,pipe,피리,дудка,笛子,лимбэ,
vc2,vc091,musical instrument,악기,музыкальный инструмент,乐器,хөгжим,
vc1,vc090,dance (v.),춤추다,танцевать,跳舞,(бүжиг) бүжиглэх,
vc1,vc089,dance (n.),춤,танец,舞蹈,бүжиг,
vc1,vc088,sing,노래 부르다,петь,唱歌,(дуу) дуулах,
vc1,vc087,song,노래,песня,歌儿,дуу,
vc1,vc086,music,음악,музыка,音乐,хөгжим,
vc2,vc243,translate (verbally),통역하다,,,хэлмэрчлэх,
vc2,vc085,translate,번역하다/통역하다,переводить (напр. переводить роман / переводить устно),翻译(+外语),орчуулах,
vc3,vc084,biography,전기(傳記),биография,传记,намтар,
vc2,vc083,"riddle, puzzle",수수께끼,загадка,谜语,"оньсого, таавар",
vc2,vc082,proverb/saying,속담,пословица,俗话/俗语,зүйр үг,
vc3,vc081,proverb,금언,афоризм,格言,цэцэн үг,
vc3,vc080,"poetry, poem",시(詩),"поэзия, стихи",诗(唐诗的+),"яруу найраг, шүлэг",
vc3,vc079,novel,소설,роман,小说,"роман, тууж, ɵгүүлэг",
vc1,vc078,book,책,книга,书(看书的+),ном,
vc2,vc077,"pigment, paint, colors",물감,краска (для рисования),颜料,будаг,
vc1,vc076,draw (picture),그리다(그림을+),рисовать,画(画图的+),зурах,
vc1,vc075,drawing,그림,"картина, рисунок",画儿(年画儿的+),зураг,
vc2,vc074,pen,펜(일반),ручка,笔(用笔写字的+),үзэг,
vc2,vc073,pencil,연필,карандаш,铅笔,харандаа,
vc2,vc072,Chinese ink,먹물,жидкая тушь,墨水,шингэн бэх,
vc2,vc071,ink stick,먹,тушь,墨(墨水的+),хуурай бэх,
vc2,vc070,brush,붓,кисть (художника),毛笔,бийр,
vc1,vc069,paper,종이,бумага,纸(纸笔的+),цаас,
vc2,vc068,"machininery, tools",기계,"техника, оборудование",机器,машин техник,
vc2,vc067,goods,상품,товар,商品,бараа,
vc1,vc066,shop,가게/상점,магазин,商店,дэлгүүр,
vc1,vc065,sell,팔다,продавать,卖(卖东西的+),зарах,
vc1,vc064,buy,사다,покупать,买(买东西的+),худалдаж авах,
vc3,vc063,interference,간섭,вмешательство,干涉,хөндлөнгийн оролцоо,
vc3,vc062,criminal,범인,преступник,犯人,гэмт хэрэгтэн,
vc3,vc061,poverty,빈곤,"бедность, нищета",贫穷,ядуурал,
vc3,vc060,suppression,억압,подавление,压迫(受压迫的+),шахалт,
vc1,vc059,the rich,부자,богатые (люди),富人/有钱人,баян хүн,
vc3,vc058,public affairs,공무,служебные дела,公事(公事私事的+),албан ажил,
vc3,vc057,government official,관리/공무원,чиновник,公务员,албан хаагч,
vc3,vc056,public institution,관공서,государственное учреждение,机关,албан байгууллага,
vc2,vc055,a tax,세금,налог,税金,гаалийн татвар,
vc2,vc054,interest,이자,процент (выплачивать),利息,мөнгөний хүү,
vc3,vc053,bank (financial institution),은행,банк,银行,банк,
vc3,vc052,transaction,거래,сделка,交易,арилжаа,
vc3,vc051,pay,봉급,зарплата,工资,цалин,
vc3,vc050,"pay, salary",급료,жалованье,薪水,цалин хөлс,
vc3,vc049,loss,손해,убыток,损失,хохирол,
vc3,vc048,benefit/profit,이익,выгода,利益,ашиг,
vc3,vc047,expense,비용,расход,费用,зардал,
vc3,vc046,profit,이윤,прибыль,利润,ашиг орлого,
vc3,vc045,low price,저가,низкая цена,廉价,хямд үнэ,
vc2,vc044,high price,고가,высокая цена,高价,өндөр үнэ,
vc2,vc043,value,가치,ценность,价值,үнэ цэнэ,
vc2,vc042,price,값,цена,价钱,үнэ,
vc2,vc041,cash,현금,наличные (деньги),现金,бэлэн мөнгө,
vc2,vc040,coin (n.),동전,монета,硬币,зоос,
vc1,vc039,money,돈/화폐,деньги,钱(金钱的+),мөнгө,
vc2,vc038,property,재산,имущество,财产,хөрөнгө,
vc2,vc037,lot (in a lottery),제비(+뽑다),жребий (напр. тянуть),签子(抽签儿的+),шавга татах,
vc2,vc036,(one's) share (n.),몫,доля,"份儿(你一份儿,我一份儿的+)",хувь,
vc2,vc035,sue,소송하다/고소하다,возбуждать дело,控诉/打官司,заргалдах,
vc2,vc034,judge,재판하다,судить,裁判(你来裁判一下儿的+),шүүх,
vc2,vc033,"feast, banquet",잔치,банкет,宴会,найр,
vc2,vc032,meeting,집회/모임,собрание,集会,цуглаан,
vc2,vc031,association/friendship/exchange,교제,общение,交际,уулзалт,
vc2,vc030,gambling,노름/도박,азартная игра,赌博,мөрийтэй тоглоом,
vc2,vc029,"game, play",놀이,игра,游戏,наадам,
vc2,vc028,magic,마술,фокус,魔术,илбэ,
vc2,vc027,fishing,낚시질,рыбалка,钓鱼(我喜欢钓鱼的+),загасчлах,
vc2,vc026,entertainment,오락,развлечение,娱乐,тоглоом,
vc2,vc025,event,행사,мероприятие,活动(举办各种文化活动的),үйл ажиллагаа,
vc2,vc024,fasting,단식,голодовка,绝食,өлсгөлөн,
vc2,vc023,rest (n.),휴식,отдых,休息,амралт,
vc2,vc022,festivities,경축,празднование,祝贺(表示祝贺的+)/庆祝,ёслон тэмдэглэх,
vc2,vc021,wedding,결혼식,свадьба,婚礼,хуримын ёслол,
vc2,vc020,funeral ceremonies,장례,похороны,葬礼,оршуулга,
vc2,vc019,altar,제단,алтарь,祭坛,тахилгын ширээ,
vc2,vc018,ceremony,의식/의례,обряд,仪式/典礼,ёслол,
vc1,vc246,,북(샤먼의+),бубен,萨满鼓,,
vc1,vc242,shaman,샤먼(여),шаманка,萨满(女的),удган,
vc1,vc241,shaman,샤먼(남),шаман,萨满(男的),бөө,
vc2,vc017,sexual intercourse,성교,половой акт,性交,бэлгийн харьцаа,
vc2,vc016,living place,주거,жильё,住宅,орон гэр,
vc2,vc015,life,생활,жизнь (напр. семейная жизнь),生活,амьдрал,
vc2,vc245,,운수,удача,运气,,
vc2,vc014,fate,운명,судьба,命运,хувь заяа,
vc2,vc013,history,역사,история,历史,түүх,
vc2,vc012,"play, drama",연극,спектакль,戏剧,жүжиг,
vc2,vc011,"sculpture, engraving",조각,скульптура,雕刻(这个雕刻很漂亮的+),баримал,
vc2,vc010,"picture, photo",사진,фотография,相片,гэрэл зураг,
vc2,vc009,signature,서명,подпись,签名(照片),гарын үсэг,
vc2,vc008,fame,명성,слава,名声,алдар нэр,
vc2,vc007,rumor,소문,слухи,传闻,"цуурхал, дам үг",
vc2,vc006,education,교육,образование,教育,боловсрол,
vc2,vc005,culture,문화,культура,文化,соёл,
vc2,vc004,society,사회,общество,社会,нийгэм,
vc2,vc003,economy,경제,экономика,经济,эдийн засаг,
vc1,vc002,law,법률/법,закон,法律,хууль,
vc2,vc001,politics,정치,политика,政治,улс төр,
vr3,vr171,Ethnic Korean (living in China/Former Soviet Union),고려인,русский кореец,高丽人,Оросын Солонгос үндэстэн,
vr3,vr170,Korean,조선족,,朝鲜族,Хятадын Солонгос үндэстэн,
vr3,vr193,Kyrgyz (n.),키르기스 인,кыргыз,吉尔吉斯人/柯尔克孜人,Киргиз хүн,
vr3,vr192,Kazakh (n.),카자흐 인,казах,哈萨克人,Хасаг хүн,
vr3,vr191,Kalmyk (n.),칼미크 인,калмык,卡尔梅克人,Халимаг хүн,
vr3,vr190,Mongolian (n.),몽골 인,монгол,蒙古人,Монгол хүн,
vr3,vr169,Daur,다고르 인,даур,达斡尔族,Дагуур хүн,
vr3,vr168,Orochen,오로챈 인,орочон,鄂伦春族,,
vr3,vr167,Evenki,어웡키 인,эвенк,鄂温克族,,
vr3,vr166,Han race,한족,,汉族,Хятад,
vr3,vr165,neighborhood,이웃사람,сосед,邻居/街坊,хөрш,
vr3,vr164,fool,바보,дурак,傻子,тэнэг,
vr3,vr163,thief,좀도둑,воришка,小偷,хумслаач,
vr1,vr162,thief,도둑,вор,贼盗/强盗,хулгайч,
vr3,vr161,"leader, chief",두목,главарь,头目,толгойлогч,
vr3,vr160,minister of state,장관/대신,министр,大臣,сайд,
vr3,vr159,monk,중(僧)/승려,монах,僧人(和尚),лам,
vr3,vr158,the dead,고인,покойник,死人/故人,талийгаач,
vr3,vr157,president,대통령,президент,总统,ерөнхийлөгч,
vr3,vr156,empress,황후,императрица,皇后,эзэн хааны хатан,
vr3,vr155,czar,황제(러시아의 짜르),царь,皇帝,Оросын цагаан хаан,
vr3,vr154,emperor,황제(일반),император,皇上,эзэн хаан,
vr3,vr153,prince,왕자,принц,王子,хан хүү,
vr3,vr152,princess,공주,принцесса,公主,гүнж,
vr3,vr151,queen,왕비,королева (жена короля),王妃,хатан,
vr3,vr150,queen,여왕,королева,女王,хатан хаан,
vr3,vr149,king,국왕,король,国王,улсын хаан,
vr3,vr148,"monarch, sovereign",군주,монарх,君主,эзэн хаан,
vr3,vr147,foreigner,외국인,иностранец,外国人,гадаад хүн,
vr3,vr146,inhabitant,주민,житель,居民,оршин суугч,
vr3,vr145,nation,백성/민중,народ,老百姓,ард түмэн,
vr3,vr144,crowd,군중,толпа,群众,олон хүн,
vr3,vr143,"customer, client",고객,клиент,顾客,үйлчлүүлэгч,
vr3,vr142,acquaintance,지인/아는 사람,знакомый,熟人/认识的人,танил,
vr1,vr141,hero,영웅,герой,英雄,баатар,
vr1,vr140,"student, pupil",학생,ученик,学生,сурагч,
vr1,vr139,teacher,스승,учитель,老师,багш,
vr1,vr138,doctor,의사,врач,医生/大夫,эмч,
vr3,vr137,the leading members,간부,кадровый (руководящий) работник,干部,удирдлага,
vr3,vr136,comrade,동지,товарищ,同志,нөхөр,
vr1,vr135,friend,친구,друг,朋友,найз,
vr3,vr134,beggar,거지,нищий,花子(乞丐),гуйлгачин,
vr3,vr133,slave,노예,раб,奴隶,боол,
vr3,vr132,errand boy,심부름꾼,мальчик на побегушках,跑腿儿的,зарлага,
vr3,vr131,tenant,머슴,батрак,长工,зарц боол,
vr3,vr130,maid servant,하녀,служанка,女佣人,зарц эмэгтэй,
vr3,vr129,servant,하인,слуга,佣人,зарц,
vr3,vr128,guard,파수꾼,сторож,站岗的,манаач,
vr3,vr127,merchant,상인,торговец,商人,худалдаачин,
vr3,vr126,policeman,경찰관,милиционер,警察,цагдаа,
vr3,vr125,seaman,뱃사람,моряк,水手,далайчин,
vr3,vr124,carpenter,목수,плотник,木匠,мужаан,
vr3,vr123,woodman,나무꾼,дровосек,打柴人,модчин,
vr1,vr122,fisherman,어민/어부,рыбак,渔夫,загасчин,
vr1,vr121,a hunter,사냥꾼,охотник,猎人,анчин,
vr1,vr120,wrangler (horse),말치기,табунщик,牧马人/放马的,адуучин,
vr1,vr119,man who raises cattle/cowboy,소치기,пастух коров,放牛的,үхэрчин,
vr1,vr118,shepherd,양치기,пастух овец,放羊的,хоньчин,
vr1,vr117,stock farmer,목축민,скотовод,牧民,малчин,
vr3,vr116,landowner,지주,помещик,地主,газрын эзэн,
vr3,vr115,farmers family,농가,крестьянская семья,农家,тариачин айл,
vr3,vr114,farmer,농민,крестьянин,农民,тариачин,
vr3,vr113,worker,노동자,рабочий,工人,хөдөлмөрчин,
vr3,vr112,occupation,직업,профессия,职业,мэргэжил,
vr1,vr111,tourist,나그네,прохожий,过客/过路人,аянчин,
vr1,vr110,guest,손님,гость,客人,зочин,
vr2,vr109,hostess,주인(여+),хозяйка,女主人,эзэгтэй,
vr1,vr108,"master, host",주인,хозяин,主人(房子的主人的+）,эзэн,
vr2,vr107,"descendant, offspring",자손,потомки,子孙,үр ач,
vr2,vr106,ancestor,조상,предки,祖先,өвөг дээдэс,
vr1,vr105,adult,어른,взрослый,大人,насанд хүрсэн хүн,
vr1,vr104,elderly woman,노인(여),старуха,老人(女)/老太太,эмгэн,
vr1,vr198,elderly man,노인(남),,老人(男)/老先生,өвгөн,
vr1,vr103,old man,노인,старик,老人,хөгшин хүн,
vr3,vr187,mistress/concubine,첩,наложница,小老婆,татвар эхнэр,
vr3,vr102,middle-aged,중년,пожилой,中年,дунд насны,
vr3,vr101,womenfolk,부녀자,баба,妇女,эхнэр,
vr1,vr100,maid,처녀,девушка,姑娘,охин,
vr1,vr099,young man,청년,парень,青年,залуу,
vr1,vr098,young girl,여자아이,,女孩,,
vr3,vr097,girl,소녀,,少女,,
vr1,vr096,girl,소녀/여자아이,девочка,少女/女孩,охин,
vr1,vr095,young boy,사내아이,,男孩,,
vr3,vr094,boy,소년,,少年,,
vr1,vr093,boy,소년/사내아이,мальчик,少年/男孩,хүү,
vr1,vr092,child,아이(어린이),ребёнок,小孩儿,хүүхэд,
vr3,vr091,baby,유아(취학 전 아동),малыш (ребёнок дошкольного возраста),幼儿,нялх хүүхэд,
vr2,vr090,baby,아기,младенец (грудной ребёнок),娃娃(谁家的娃娃的+),бага хүүхэд,
vr2,vr089,relatives,친족/친척,родственник,亲属/亲戚,төрөл садан,
vr1,vr197,son's mother in law??,수사돈(사위 쪽의 사돈),,,худгуй,
vr1,vr196,daughter's mother-in-law??,암사돈(며느리 쪽의 사돈),,,худ,
vr1,vr202,,사돈(며느리나 사위의 어머니),сватья,,,
vr1,vr201,,사돈(며느리나 사위의 아버지),сват,,,
vr1,vr186,relatives via marriage,사돈,,亲家,,
vr1,vr088,son in law,사위,зять,女婿/姑爷,хүргэн хүү,
vr1,vr087,mother in law,장모,тёща,丈母娘/岳母,хадам ээж (би эмэгтэй),
vr1,vr086,father in law,장인,тесть,老丈人/岳父,хадам аав (би эрэгтэй),
vr1,vr200,,며느리(시어머니 입장),невестка,,,
vr1,vr199,,며느리(시아버지 입장),сноха,,,
vr1,vr085,daughter in law,며느리,,儿媳妇,бэр охин,
vr1,vr084,mother-in-law,시어머니,свекровь,婆婆,хадам ээж (би эмэгтэй),
vr1,vr083,father-in-law,시아버지,свёкр,公公,хадам аав (би эмэгтэй),
vr2,vr082,bride ,신부,невеста,新娘,бэр,
vr2,vr081,bridegroom,신랑,жених ,新郎,хүргэн ,
vr1,vr080,wife,아내,жена,妻子,эхнэр,
vr1,vr079,husband,남편,муж,丈夫,нөхөр,
vr2,vr078,couple/husband and wife,부부,"супруги, муж и жена",夫妇/夫妻,эхнэр нөхөр,
vr1,vr077,marry (v.),결혼하다,жениться,结婚,гэрлэх,
vr3,vr076,lover,연인,влюблённые,恋人,амраг,
vr3,vr075,twin ,쌍둥이,близнецы,孪生/双胞胎,ихэр хүүхэд,
vr2,vr074,orphan,고아,сирота,孤儿,өнчин хүүхэд,
vr2,vr073,widower,홀아비,вдовец,鳏夫(丧偶的男子),бэлэвсэн эр,
vr2,vr072,widow,홀어미/과부,вдова,寡妇,бэлэвсэн эхнэр,
vr3,vr071,daughter from a previous marriage??,의붓딸,падчерица,义女/干女儿,дагавар охин,
vr3,vr070,son from a previous marriage??,의붓아들,пасынок,义子/干儿子,дагавар хүү,
vr3,vr069,stepmother,계모,мачеха,继母,хойт эх,
vr3,vr068,stepfather,계부,отчим,继父,хойт эцэг,
vr3,vr067,stepdaughter,양녀,приёмная дочь,养女,өргөмөл охин,
vr3,vr066,stepson,양자,приёмный сын,养子,өргөмөл хүү,
vr3,vr065,foster mother,양모,приёмная мать,养母,тэжээсэн эх,
vr3,vr064,foster father,양부,приёмный отец,养父,тэжээсэн эцэг,
vr2,vr063,maternal aunt,이모,сестра матери,姨母/姨,нагац эгч,
vr3,vr062,husband of a maternal aunt,이모부,муж сестры матери,姨父,нагац хүргэн ах,
vr3,vr061,wife of a maternal uncle,외숙모,жена брата матери,舅母/舅妈,нагац бэргэн,
vr2,vr060,maternal uncle,외삼촌,брат матери,舅舅,нагац ах,
vr2,vr059,paternal aunt,고모,сестра отца,姑姑/姑妈,авга эгч,
vr3,vr058,husband of a paternal aunt,고모부,муж сестры отца,姑父,авга эгчийн нөхөр,
vr3,vr057,wife of fathers elder brother,백모,жена старшего брата отца,伯母,их авга бэргэн,
vr3,vr056,fathers elder brother,백부,старший брат отца,伯父,их авга,
vr2,vr055,aunt (wife of father's younger brother),숙모,жена брата отца,婶儿,авга бэргэн,
vr2,vr054,uncle (father's younger brother),숙부,брат отца,叔叔,авга ах,
vr1,vr204,aunt,아주머니(여자 친척의 총칭),тётя,,,
vr1,vr203,uncle,아저씨(남자 친척의 총칭),дядя,,,
vr2,vr185,great-granddaughter??,고손녀,праправнучка,玄孙女,гуч охин,
vr2,vr184,great-grandson??,고손자,праправнук,玄孙,гуч хүү,
vr2,vr183,great-great-grandmother,고조모,прапрабабушка,高祖母,хуланц эмэг,
vr2,vr182,great-great-grandfather,고조부,прапрадедушка,高祖父,хуланц өвөг,
vr2,vr053,great-granddaughter,증손녀,правнучка,曾孙女,жич охин,
vr2,vr052,great-grandson,증손자,правнук,曾孙,жич хүү,
vr2,vr181,paternal great-grandmother,증조모,прабабушка,曾祖母,элэнц эмэг,
vr2,vr180,paternal great-grandfather,증조부,прадедушка,曾祖父,элэнц өвөг,
vr1,vr051,granddaughter,손녀,внучка,孙女,ач охин,
vr1,vr050,grandson,손자,внук,孙子,ач хүү,
vr3,vr049,niece,생질녀,племянница (дочь сестры),外甥女,зээ охин,
vr3,vr048,nephew,생질,племянник (сын сестры),外甥,зээ,
vr2,vr047,niece,조카딸,племянница,侄女,үеэл охин,
vr2,vr046,nephew,조카,племянник,侄子,үеэл хүү,
vr2,vr179,second cousin,6촌 자매,троюродная сестра,堂姐妹,хаяал эгч дүү,
vr2,vr178,second cousin,6촌 형제,троюродный брат,堂兄弟,хаяал ах дүү,
vr2,vr045,cousin,사촌 자매,двоюродная сестра,表姐妹,үеэл эгч дүү,
vr2,vr044,cousin,사촌 형제,двоюродный брат,表兄弟,үеэл ах дүү,
vr2,vr043,last daughter,막내(+딸),младшая дочь,老小(+女儿)/小女儿,отгон охин,
vr2,vr042,last son,막내(+아들),младший сын,老小(+儿子)/小儿子,отгон хүү,
vr2,vr041,second daughter,차녀,вторая дочь,次女(第二个女儿),хоёр дахь охин,
vr2,vr040,second son,차남,второй сын,次子(第二个儿子),хоёр дахь хүү,
vr2,vr039,first daughter,장녀,старшая дочь,长女,том охин,
